,product_link,product_name,final_price,product_description,name_dimension,final_price_dimension,product_description_location,body_dimension
67,https://www.snapdeal.com/product/asian-lifestyle-black-casual-shoes/684665745019,ASIAN Sneakers Black Casual Shoes,Rs. 499,"ASIAN
Color:Black
Heel Height:Flat
Features:Lightweight
Insoles:Padded
Upper Material:Mesh/Textile
Shoe Type:Sneakers
SUPC: SDL942280399","{'x': 453, 'y': 158, 'height': 27, 'width': 393}","{'x': 451, 'y': 272, 'height': 32, 'width': 80}","{'x': 55, 'y': 1838, 'height': 141, 'width': 747}","{'x': 0, 'y': 0, 'height': 9259, 'width': 1024}"
68,https://www.snapdeal.com/product/aletk-tan-daily-slippers/634127324254,Altek Tan Flip Flops,Rs. 219,"Altek
Color: Tan
Upper Material: Fabric
Slipper Type: Flip Flops
Sole Material: Rubber
SUPC: SDL829811002","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 74}","{'x': 55, 'y': 1907, 'height': 119, 'width': 747}","{'x': 0, 'y': 0, 'height': 7956, 'width': 1024}"
69,https://www.snapdeal.com/product/squash-gray-daily-slippers/669559941355,Squash Gray Daily Slippers,Rs. 229,"Squash
Slipper Type:Daily Slippers
Color:Gray
Upper Material:Synthetic Leather
Sole Material:Rubber
Features:Light weight (<500gms)
SUPC: SDL192943109","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 78}","{'x': 55, 'y': 2007, 'height': 163, 'width': 747}","{'x': 0, 'y': 0, 'height': 8080, 'width': 1024}"
70,https://www.snapdeal.com/product/viv-sneakers-black-casual-shoes/646493603766,viv Sneakers Black Casual Shoes,Rs. 439,"viv
Color:Black
Ankle Height:Normal
Heel Height:Medium heel < 5.08 cm(2)
Features:Lightweight
Insoles:Padded
Sole Material:Airmix
Upper Material:Mesh/Textile
Shoe Type:Sneakers
SUPC: SDL971903654","{'x': 453, 'y': 158, 'height': 27, 'width': 393}","{'x': 451, 'y': 259, 'height': 32, 'width': 79}","{'x': 55, 'y': 1937, 'height': 163, 'width': 747}","{'x': 0, 'y': 0, 'height': 5898, 'width': 1024}"
71,https://www.snapdeal.com/product/pkkart-black-daily-slippers/663000210431,PKKART Black Slippers,Rs. 239,"PKKART
Color: Black
Upper Material: Fabric
Slipper Type: Slippers
Sole Material: EVA
SUPC: SDL780835185","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 78}","{'x': 55, 'y': 1895, 'height': 119, 'width': 747}","{'x': 0, 'y': 0, 'height': 6077, 'width': 1024}"
72,https://www.snapdeal.com/product/sir-corbett-sneakers-black-casual/622562853083,Sir Corbett Sneakers Black Casual Shoes,Rs. 749,"Sir Corbett
Color:Black
Ankle Height:Normal
Heel Height:Flat
Features:Cushioned
Insoles:Padded
Sole Material:Airmix
Upper Material:Rubber
Shoe Type:Sneakers
SUPC: SDL768721135","{'x': 453, 'y': 158, 'height': 27, 'width': 393}","{'x': 451, 'y': 272, 'height': 32, 'width': 77}","{'x': 55, 'y': 1850, 'height': 163, 'width': 747}","{'x': 0, 'y': 0, 'height': 6625, 'width': 1024}"
73,https://www.snapdeal.com/product/fentacia-brown-daily-slippers/656959898712,Fentacia Brown Flip Flops,Rs. 469,"Fentacia
Color: Brown
Upper Material: Synthetic
Slipper Type: Flip Flops
Sole Material: PVC
SUPC: SDL911070263","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 80}","{'x': 55, 'y': 1938, 'height': 119, 'width': 747}","{'x': 0, 'y': 0, 'height': 7958, 'width': 1024}"
74,https://www.snapdeal.com/product/altek-navy/669902791772,Altek Navy,Rs. 249,"Altek
Color:Navy
Upper Material:Synthetic Leather
Sole Material:Rubber
SUPC: SDL032222599","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 79}","{'x': 55, 'y': 2007, 'height': 141, 'width': 747}","{'x': 0, 'y': 0, 'height': 5563, 'width': 1024}"
75,https://www.snapdeal.com/product/aadi-sneakers-maroon-casual-shoes/655368096530,Aadi Sneakers Maroon Casual Shoes,Rs. 399,"Aadi
Color:Maroon
Ankle Height:Normal
Heel Height:Flat
Features:Lightweight
Sole Material:Airmix
Upper Material:Mesh
Shoe Type:Sneakers
SUPC: SDL478760606","{'x': 453, 'y': 158, 'height': 27, 'width': 393}","{'x': 451, 'y': 272, 'height': 32, 'width': 79}","{'x': 55, 'y': 1962, 'height': 141, 'width': 747}","{'x': 0, 'y': 0, 'height': 5830, 'width': 1024}"
76,https://www.snapdeal.com/product/urbanmark-tan-mens-daily-slipper/663610446418,UrbanMark - Tan Men's Daily Slipper ( Pack of 1 ),Rs. 219,"UrbanMark
Color:Tan
Sole Material:Resin
Type:Daily Slipper
Upper Material:Synthetic
Care Instruction:Wipe with a clean
Closure:Slip-On
Key Features:Lightweight
Pattern:Brand Logo
Shop by Occasion:Casual
SUPC: SDL763898882","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 74}","{'x': 55, 'y': 2019, 'height': 185, 'width': 747}","{'x': 0, 'y': 0, 'height': 5998, 'width': 1024}"
77,https://www.snapdeal.com/product/layasa-green-casual-shoes/632677010282,layasa Green Casual Shoes,Rs. 499,"layasa
Color:Green
Upper Material:Synthetic Leather
SUPC: SDL447458857","{'x': 453, 'y': 158, 'height': 27, 'width': 393}","{'x': 451, 'y': 272, 'height': 32, 'width': 80}","{'x': 55, 'y': 1950, 'height': 141, 'width': 747}","{'x': 0, 'y': 0, 'height': 6656, 'width': 1024}"
78,https://www.snapdeal.com/product/lyvi-red/5764608168794827616,lyvi Red Slippers,Rs. 199,"lyvi
Color: Red
Upper Material: Fabric
Slipper Type: Slippers
Sole Material: EVA
SUPC: SDL059638895","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 75}","{'x': 55, 'y': 1950, 'height': 119, 'width': 747}","{'x': 0, 'y': 0, 'height': 6172, 'width': 1024}"
79,https://www.snapdeal.com/product/highwalker-red-daily-slippers/657961549912,HighWalker Red Slippers,Rs. 189,"HighWalker
Color: Red
Upper Material: Rubber
Slipper Type: Slippers
Sole Material: EVA
SUPC: SDL237347509","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 74}","{'x': 55, 'y': 1895, 'height': 119, 'width': 747}","{'x': 0, 'y': 0, 'height': 7144, 'width': 1024}"
80,https://www.snapdeal.com/product/be-awara-grey-fleece-joggers/674547252942,Be Awara - Light Grey Fleece Men's Drop Crotch Pants ( Pack of 1 ),Rs. 799,"Be Awara
Color:Light Grey
Fabric:Fleece
Fit:Regular
Pattern:Striped
Waist Closure:Elasticated
Lining Material:Fleece
Lining:No
Wash Care:Machine Wash
Shop By Occasion:Casual
Pattern or Print Type:Vertical Striped
Number of Pocket:2
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
Pattern Coverage:Placement
Weave Type:Knitted
Type:Drop Crotch Pants
Season:Summer
Pack:Pack of 1
SUPC: SDL679516150","{'x': 453, 'y': 158, 'height': 54, 'width': 393}","{'x': 451, 'y': 286, 'height': 32, 'width': 78}","{'x': 55, 'y': 1335, 'height': 339, 'width': 747}","{'x': 0, 'y': 0, 'height': 5181, 'width': 1024}"
