,product_link,site,product_name,name_dimension,body_dimension
0,https://www.samsung.com/in/tablets/galaxy-tab-s/galaxy-tab-s8-ultra-wifi-graphite-256gb-sm-x900nzaeinu/,samsung,Galaxy Tab S8 Ultra (Wi-Fi),"{'x': 0, 'y': 56, 'height': 49, 'width': 343}","{'x': 0, 'y': 0, 'height': 29340, 'width': 785}"
1,https://www.dell.com/en-in/work/shop/shop-all-deals/vostro-3510-laptop-best-seller/spd/vostro-15-3510-laptop/bts-icc-d584005win8sbo,dell,Service Unavailable - DNS failure,"{'x': 8, 'y': 8, 'height': 37, 'width': 784}","{'x': 8, 'y': 8, 'height': 576, 'width': 784}"
2,https://www.croma.com/croma-in-ear-wireless-earphone-with-mic-bluetooth-5-0-voice-assistant-support-siri-support-7100002551-black-/p/248626,croma,"Croma In-Ear Wireless Earphone with Mic (Bluetooth 5.0, Voice Assistant Support & Siri Support, 7100002551, Black)","{'x': 15, 'y': 676, 'height': 37, 'width': 755}","{'x': 0, 'y': 0, 'height': 3047, 'width': 785}"
3,https://www.nnnow.com/arrow-men-tan-round-toe-formal-shoes-T9GDRZHLCZP,nnnow,ARROW Men Tan Round Toe Wellington Formal Shoes,"{'x': 31, 'y': 751, 'height': 25, 'width': 701}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
4,https://www.urbanladder.com/products/stanhope-upholstered-storage-bed?src=bestsellers-carousel,urbanladder,Stanhope Upholstered Storage Bed,"{'x': 238, 'y': 228, 'height': 64, 'width': 495}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
