,product_link,product_name,final_price,product_description,name_dimension,final_price_dimension,product_description_location,body_dimension
86,https://in.puma.com/in/en/pd/puma-x-smiley-world-future-rider-kids-sneakers/384926.html?dwvar_384926_color=01,PUMA x SMILEY WORLD Future Rider Kids' Sneakers,"₹4,499","The iconic image of counter-culture for nearly five decades, Smiley is now collaborating with PUMA to bring you trendsetters. The PUMA x SMILEY WORLD Future Rider Kids' Sneake...","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5433, 'width': 785}"
87,https://in.puma.com/in/en/pd/enzo-2-refresh-ac-infant-shoes/385678.html?dwvar_385678_color=04,Enzo 2 Refresh AC Infant Shoes,"₹3,999","Welcome the new kid on the Enzo block, PUMA’s coolest new kicks for the coolest kids. Refreshing in name and nature, the extreme collar height and clamshell construction feel ...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5475, 'width': 785}"
88,https://in.puma.com/in/en/pd/puma-x-smileyworld-kids-t-shirt/533414.html?dwvar_533414_color=51,PUMA x SMILEYWORLD Kids' T-shirt,"₹1,299","Celebrate the original emoji in this fun retro piece, designed with SmileyWorld – who have been spreading good vibes and positivity through smiley graphics since the 1970s. Th...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5431, 'width': 785}"
89,https://in.puma.com/in/en/pd/puma-x-smileyworld-kids-t-shirt/533414.html?dwvar_533414_color=52,PUMA x SMILEYWORLD Kids' T-shirt,"₹1,299","Celebrate the original emoji in this fun retro piece, designed with SmileyWorld – who have been spreading good vibes and positivity through smiley graphics since the 1970s. Th...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5431, 'width': 785}"
90,https://in.puma.com/in/en/pd/puma-x-smileyworld-kids-t-shirt/533414.html?dwvar_533414_color=74,PUMA x SMILEYWORLD Kids' T-shirt,"₹1,299","Celebrate the original emoji in this fun retro piece, designed with SmileyWorld – who have been spreading good vibes and positivity through smiley graphics since the 1970s. Th...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5431, 'width': 785}"
91,https://in.puma.com/in/en/pd/puma-x-smileyworld-kids-t-shirt/533414.html?dwvar_533414_color=01,PUMA x SMILEYWORLD Kids' T-shirt,"₹1,299","Celebrate the original emoji in this fun retro piece, designed with SmileyWorld – who have been spreading good vibes and positivity through smiley graphics since the 1970s. Th...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5431, 'width': 785}"
92,https://in.puma.com/in/en/pd/puma-x-smiley-world-kids-shorts/846974.html?dwvar_846974_color=43,PUMA x SMILEY WORLD Kids' Shorts,"₹1,799","What's not to smile about? These shorts, developed in partnership with Smiley World, are sure to bring a smile to your little one's face. There's a colourful graphic on the ri...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5839, 'width': 785}"
93,https://in.puma.com/in/en/pd/puma-x-smiley-world-kids-shorts/846974.html?dwvar_846974_color=01,PUMA x SMILEY WORLD Kids' Shorts,"₹1,799","What's not to smile about? These shorts, developed in partnership with Smiley World, are sure to bring a smile to your little one's face. There's a colourful graphic on the ri...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5839, 'width': 785}"
94,https://in.puma.com/in/en/pd/puma-x-smiley-world-kids--t-shirt/846970.html?dwvar_846970_color=74,PUMA x SMILEY WORLD Kids' T-shirt,"₹1,299","Here's a tee guaranteed to put a smile on their face. It features a fun and super colourful rubber print Smiley World print on the front. On the back, just under the ribbed cr...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5351, 'width': 785}"
95,https://in.puma.com/in/en/pd/suede-light-flex-foodis%C2%A0v-infant-sneakers/383145.html?dwvar_383145_color=01,Suede Light-Flex Foodis V Infant Sneakers,"₹3,999","If your kid is hungry for sporting adventure, then this is the shoe for them. Featuring adorable foodie characters in cool colourways cavorting across a stretchy textile upper...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5610, 'width': 785}"
96,https://in.puma.com/in/en/pd/suede-light-flex-foodis%C2%A0v-infant-sneakers/383145.html?dwvar_383145_color=02,Suede Light-Flex Foodis V Infant Sneakers,"₹3,999","If your kid is hungry for sporting adventure, then this is the shoe for them. Featuring adorable foodie characters in cool colourways cavorting across a stretchy textile upper...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5610, 'width': 785}"
97,https://in.puma.com/in/en/pd/puma-x-smiley-world-kids-t-shirt/846976.html?dwvar_846976_color=15,PUMA x SMILEY WORLD Kids' T-shirt,"₹1,299","Put a smile on their faces with this awesome Smiley World tee. Featuring a ribbed crew neck and with a relaxed fit, this tee has a colourful rubber graphic on the front while ...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5296, 'width': 785}"
