,product_link,product_name,body_dimension,pname_dimension
10,https://www.flipkart.com/hp-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq4021tu-thin-light-laptop/p/itm5b9f6ea155373?pid=COMGAX8FPCZDVFES&lid=LSTCOMGAX8FPCZDVFESAYVAKE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMGAX8FPCZDVFES.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq4021TU Thin and Light Laptop (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","{'x': 0, 'y': 96, 'height': 4461, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
11,https://www.flipkart.com/dell-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050ti-g15-5511-gaming-laptop/p/itmb2a2428cfb8bd?pid=COMGAD2BA67TFF8Z&lid=LSTCOMGAD2BA67TFF8ZVKMGYE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_br05wX%2FAaXU8anReOthd2ANr7S2ekfF5hsAvUqhTy1kly9dAShUZNEAPS%2B1%2F90PqB8PuJAOcJgvN249UXT%2FMfw%3D%3D&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15-5511 Gaming Laptop (15.6 inch, Dark Shadow Grey, 2.4 kg, With MS Office)","{'x': 0, 'y': 96, 'height': 2202, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
12,https://www.flipkart.com/acer-aspire-7-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-a715-75g-50ta-a715-75g-41g-a715-75g-52aa-gaming-laptop/p/itm365d5a348ad9c?pid=COMG2KBG2K4GFFF7&lid=LSTCOMG2KBG2K4GFFF75TIZXH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestvalueId_6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG2KBG2K4GFFF7.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-75G-50TA/ A715-75G-41G/ A715-75G-52AA Gaming Laptop (15.6 inch, Black, 2.15 Kg)","{'x': 0, 'y': 96, 'height': 5460, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
13,https://www.flipkart.com/asus-vivobook-15-2021-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-thin-light-laptop/p/itm8ce53e6fb58bf?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","{'x': 0, 'y': 96, 'height': 4747, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
14,https://www.flipkart.com/hp-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-10-home-15s-gy0501au-thin-light-laptop/p/itmcc3db7767aba4?pid=COMG6MVEA2PWVH3B&lid=LSTCOMG6MVEA2PWVH3BJ8QBY0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG6MVEA2PWVH3B.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","{'x': 0, 'y': 96, 'height': 4262, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
15,https://www.flipkart.com/dell-g15-core-i5-10th-gen-16-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-3050-120-hz-g15-5510-gaming-laptop/p/itma7f72ad90e541?pid=COMG5N5RCWGEHKMF&lid=LSTCOMG5N5RCWGEHKMFLEM8D1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_br05wX%2FAaXU8anReOthd2ANr7S2ekfF5hsAvUqhTy1lBBUgdmZHQHLVBoGwZPupKnJPdpkwaPJUZzW6K6sHD4Q%3D%3D&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"DELL G15 Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 3050/120 Hz) G15-5510 Gaming Laptop (15.6 inch, Dark Shadow Grey, 2.4 Kg, With MS Office)","{'x': 0, 'y': 96, 'height': 2047, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
16,https://www.flipkart.com/lenovo-ideapad-3-celeron-dual-core-4th-gen-4-gb-256-gb-ssd-windows-11-home-14igl05-thin-light-laptop/p/itm4d62502cabd77?pid=COMG72M9XXDCHEQZ&lid=LSTCOMG72M9XXDCHEQZEEJKYU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG72M9XXDCHEQZ.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"Lenovo IdeaPad 3 Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Thin and Light Laptop (14 inch, Platinum Grey, 1.5 kg, With MS Office)","{'x': 0, 'y': 96, 'height': 4111, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
17,https://www.flipkart.com/asus-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-x515ea-ej312ws-thin-light-laptop/p/itm516a699ede578?pid=COMG9WH98ZNYXWYH&lid=LSTCOMG9WH98ZNYXWYHCGTMTF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG9WH98ZNYXWYH.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","{'x': 0, 'y': 96, 'height': 3843, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
18,https://www.flipkart.com/dell-vostro-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-3400-thin-light-laptop/p/itmc295fd12568b5?pid=COMG55HHKFYVQMC5&lid=LSTCOMG55HHKFYVQMC5BZT1FN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG55HHKFYVQMC5.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"DELL Vostro Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10) VOSTRO 3400 Thin and Light Laptop (14.96 Inch, Accent Black, 1.58 kg, With MS Office)","{'x': 0, 'y': 96, 'height': 4536, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
19,https://www.flipkart.com/samsung-galaxy-book-go-snapdragon-7c-gen-2-4-gb-128-gb-emmc-storage-windows-11-home-np340xla-ka1in-thin-light-laptop/p/itm57fdb71eb3d2a?pid=COMGCFN8JMVHPHNZ&lid=LSTCOMGCFN8JMVHPHNZRG2BGK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_br05wX%2FAaXU8anReOthd2ANr7S2ekfF5hsAvUqhTy1kGnVkTa6sgrexHyfKZLKt0BvyZ3p3GOoGsv5QWq8b5JQ%3D%3D&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NP340XLA-KA1IN Thin and Light Laptop (14 Inch, Silver, 1.38 Kg, With MS Office)","{'x': 0, 'y': 96, 'height': 2611, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
