,product_link,site,product_name,name_dimension,body_dimension
0,https://pharmeasy.in/health-care/products/hi-life-multi-layered-kn95-mask--single-pack-3520787,NA,Hi Life Multi Layered Kn95 Mask- Single Pack,"{'x': 305, 'y': 165, 'height': 30, 'width': 344}","{'x': 0, 'y': 0, 'height': 4221, 'width': 785}"
1,https://www.woodlandworldwide.com/collections/men/footwear/sandals/pr-thrill-seekers-camel-camel-13844/13844?color=c7a479&size=,NA,THRILL SEEKERS CAMEL,"{'x': 30, 'y': 783, 'height': 20, 'width': 735}","{'x': 0, 'y': 0, 'height': 2255, 'width': 795}"
2,https://www.bajajfinservmarkets.in/emi-store/oppo-f21-pro-5g-128-gb-storage-rainbow-spectrum-8-gb-ram.html,NA,Oppo F21 Pro 5G 128 GB Storage Rainbow Spectrum (8 GB RAM),"{'x': 20, 'y': 662, 'height': 19, 'width': 467}","{'x': 0, 'y': 0, 'height': 5226, 'width': 795}"
3,https://www.lg.com/in/washing-machines/lg-t65sksf4z,NA,LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Washing Machine Silver  (T65SKSF4Z),"{'x': 452, 'y': 278, 'height': 84, 'width': 303}","{'x': 0, 'y': 0, 'height': 9488, 'width': 785}"
4,https://www.bata.in/bata-sneaker-for-men-500_0BA8588183202F.html?dwvar_500__0BA8588183202F_color=904,NA,BATA NAVY SNEAKER FOR MEN,"{'x': 432, 'y': 297, 'height': 60, 'width': 338}","{'x': 0, 'y': 0, 'height': 2668, 'width': 785}"
5,https://www.sangeethamobiles.com/product-details/oneplus-9-pro-pine-green-12gb-ram-256gb-storage/MOBR8KKVCGNMSKDQ,NA,OnePlus 9 Pro (Pine Green 12GB RAM 256GB Storage),"{'x': 348, 'y': 221, 'height': 56, 'width': 390}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
6,https://www.sony.co.in/electronics/televisions/a80j-series,NA,A80J | BRAVIA XR | OLED | 4K Ultra HD | High Dynamic Range (HDR) | Smart TV (Google TV),"{'x': 175, 'y': 1000, 'height': 44, 'width': 321}","{'x': 0, 'y': 0, 'height': 22432, 'width': 785}"
